"id","first_name","middle_name","lastname","coauthor_lastnames","topics","cities","countries","orcid"
215,"j","m","cheung","[""marsden""]","[""Models, Theoretical"",""Biomechanical Phenomena"",""Prosthesis Fitting"",""Hip Joint"",""Prosthesis Design"",""Fracture Fixation, Intramedullary"",""Humans"",""Weight-Bearing"",""Bone Remodeling"",""Hip Fractures"",""Osseointegration"",""Arthroplasty, Replacement, Hip""]","[{""identifier"":2638077,""name"":""Sheffield""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
216,"pia","a","eiken","[""eastell"",""prieto alhambra"",""abrahamsen"",""kruse"",""vestergaard"",""thorsteinsson"",""gram"",""hansen"",""mosekilde"",""ebbesen"",""stilgren"",""hermann"",""charles"",""kolthoff"",""tofteng"",""jensen"",""brot"",""beck nielsen"",""sorensen"",""nielsen"",""pors nielsen"",""rejnmark"",""schwarz"",""petersen"",""jrgensen"",""jorgensen"",""civitelli"",""fenger"",""ohlendorff"",""roerholt"",""brixen"",""van der mark"",""kannegaard"",""langdahl"",""gonzalez bofill"",""husted"",""harslof"",""nyegaard"",""carstens"",""stenkjær"",""borglum"",""kristensen"",""eiken"",""walter"",""poulsen"",""gartland"",""clifton bligh"",""fuller"",""wiley"",""stokes"",""skarratt"",""kvist"",""russell"",""pazianas"",""bondo"",""schierbeck"",""kober"",""clark"",""pedersen bjergaard"",""sejling"",""rubin"",""brask lindemann"",""eskildsen"",""vestbo"",""holst"",""torekov"",""herman"",""pedersen"",""eriksen""]","[""Odds Ratio"",""Long Term Adverse Effects"",""Cohort Studies"",""Case-Control Studies"",""Denmark"",""Aged"",""Risk Assessment"",""Middle Aged"",""Femoral Fractures"",""Incidence"",""Female"",""Male"",""Aged, 80 and over"",""Osteoporosis"",""Humans"",""Comorbidity"",""Alendronate"",""Bone Density Conservation Agents"",""Age Factors"",""Sodium Chloride Symporter Inhibitors"",""Retrospective Studies"",""Osteoporotic Fractures"",""Withholding Treatment"",""Drug Utilization"",""Drug Administration Schedule"",""Registries"",""Diphosphonates"",""Risedronate Sodium"",""Thiophenes"",""Imidazoles"",""Drug Substitution"",""Teriparatide"",""Osteoporosis, Postmenopausal"",""Parathyroid Hormone"",""Medication Adherence"",""Fractures, Bone"",""Databases as Topic"",""Bone and Bones"",""Practice Guidelines as Topic"",""Bone Density"",""Hip Joint"",""Mass Screening"",""Adult"",""Absorptiometry, Photon"",""Lumbar Vertebrae"",""Cross-Sectional Studies"",""Hyponatremia"",""Estrogens"",""Postmenopause"",""Forearm Injuries"",""Risk Factors"",""Regression Analysis"",""Patient Compliance"",""Hormone Replacement Therapy"",""Progesterone"",""Body Mass Index"",""Alkaline Phosphatase"",""Sensitivity and Specificity"",""Surveys and Questionnaires"",""Hydroxyproline"",""Femur"",""Climacteric"",""Biomarkers"",""Models, Statistical"",""ROC Curve"",""Creatinine"",""Randomized Controlled Trials as Topic"",""Predictive Value of Tests"",""Osteocalcin"",""Estrogen Replacement Therapy"",""Fractures, Spontaneous"",""Prospective Studies"",""Time Factors"",""Body Weight"",""Body Composition"",""Linear Models"",""Menopause"",""Hip"",""Femur Neck"",""Vitamin A"",""Longitudinal Studies"",""Quality Assurance, Health Care"",""Smoking"",""Exercise"",""Vitamin D"",""Gastrointestinal Diseases"",""Endocrine System Diseases"",""Deficiency Diseases"",""Musculoskeletal Diseases"",""Risk"",""Vitamin K 1"",""In Vitro Techniques"",""Polymorphism, Single Nucleotide"",""Adenosine Triphosphate"",""Osteoclasts"",""Apoptosis"",""Exons"",""Base Sequence"",""Haplotypes"",""Genotype"",""DNA Primers"",""Pharmacogenetics"",""Receptors, Purinergic P2X7"",""Receptors, Purinergic P2"",""Nutritional Requirements"",""Follow-Up Studies"",""Dietary Supplements"",""Vitamin B 12"",""Food, Formulated"",""Folic Acid"",""Radiography"",""Time"",""Riboflavin"",""Calcium"",""Renal Dialysis"",""Selective Estrogen Receptor Modulators"",""Kidney Failure, Chronic"",""Glomerular Filtration Rate"",""Renal Insufficiency"",""Raloxifene Hydrochloride"",""Treatment Outcome"",""Drug Therapy, Combination"",""Drug Prescriptions"",""Spinal Fractures"",""Hip Fractures"",""Practice Patterns, Physicians'"",""Sex Distribution"",""Etidronic Acid"",""Myocardial Infarction"",""Atrial Fibrillation"",""Proportional Hazards Models"",""Evidence-Based Medicine"",""Secondary Prevention"",""Primary Prevention"",""Stomach Neoplasms"",""Confidence Intervals"",""Administration, Oral"",""Esophageal Neoplasms"",""Sex Factors"",""Postoperative Complications"",""Survival Rate"",""Life Style"",""Genetic Predisposition to Disease"",""Collagen Type I"",""Perimenopause"",""United States"",""United States Food and Drug Administration"",""Humeral Fractures"",""Gene Frequency"",""Arachidonate 12-Lipoxygenase"",""Epidemiologic Methods"",""PPAR gamma"",""Diet"",""Chi-Square Distribution"",""Drug Interactions"",""Proton Pump Inhibitors"",""Dose-Response Relationship, Drug"",""Breast Neoplasms"",""Prednisolone"",""Glucocorticoids"",""Antineoplastic Agents"",""Analgesics, Opioid"",""Aspirin"",""Acetaminophen"",""Anthropometry"",""Analgesics, Non-Narcotic"",""Anti-Inflammatory Agents, Non-Steroidal"",""Prostatic Neoplasms"",""Antibodies, Monoclonal"",""Androgen Antagonists"",""Antibodies, Monoclonal, Humanized"",""Orchiectomy"",""Denosumab"",""Colorectal Neoplasms"",""Survival Analysis"",""Cardiovascular Diseases"",""Clinical Trials as Topic"",""Vitamin D Deficiency"",""Health"",""Prognosis"",""Eye Diseases"",""Databases, Factual"",""Severity of Illness Index"",""Inappropriate ADH Syndrome"",""Magnetic Resonance Imaging"",""Dementia"",""Ulcer"",""Polypharmacy"",""Treatment Failure"",""Pulmonary Disease, Chronic Obstructive"",""Hyperparathyroidism"",""Phosphates"",""Bone Diseases, Metabolic"",""Renal Insufficiency, Chronic"",""Diagnosis, Differential"",""Chronic Kidney Disease-Mineral and Bone Disorder"",""RANK Ligand"",""Metabolic Clearance Rate"",""Strontium"",""Critical Pathways"",""Algorithms"",""Genetic Association Studies"",""Amino Acid Substitution"",""Alleles"",""Receptors, Gastrointestinal Hormone"",""Cholesteatoma, Middle Ear"",""Ear Canal"",""Cholesteatoma"",""Bisphosphonate-Associated Osteonecrosis of the Jaw"",""Multimodal Imaging"",""Nose Neoplasms"",""Nasal Cavity"",""Esthesioneuroblastoma, Olfactory""]","[{""identifier"":2618425,""name"":""Copenhagen""},{""identifier"":2620320,""name"":""Hillerød""}]","[{""identifier"":2623032,""name"":""Denmark""}]",NA
217,"a",NA,"ekestubbe","[""mellstrom"",""sennerby"",""friberg""]","[""Female"",""Maxilla"",""Dental Prosthesis Design"",""Jaw, Edentulous"",""Mandible"",""Follow-Up Studies"",""Aged"",""Osteoporosis"",""Bone Resorption"",""Dental Implantation, Endosseous"",""Osseointegration"",""Retrospective Studies"",""Humans"",""Dental Implants"",""Treatment Outcome"",""Male"",""Wound Healing"",""Bone Diseases, Metabolic"",""Middle Aged"",""Dental Restoration Failure"",""Bone Density"",""Survival Analysis"",""Radiography"",""Dental Abutments""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
218,"r",NA,"li","[""rachmilewitz"",""ackerman"",""karmeli"",""dresner pollak""]","[""Bone Density"",""Osteoporosis"",""Male"",""Female"",""Colitis, Ulcerative"",""Peptides"",""Collagen"",""Collagen Type I"",""Crohn Disease"",""Middle Aged"",""Adult"",""Humans"",""Bone Resorption"",""Absorptiometry, Photon""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
219,"mary","e","majumdar","[""binkley"",""carnes"",""gudmundsson"",""farrah"",""riley"",""jensen"",""zimpel"",""bohlman"",""weinswig"",""peterson"",""sutter"",""walters"",""schill"",""kanous"",""meek"",""lata"",""petersen"",""knapp"",""behlke"",""zimmerman"",""kieser"",""ahmann"",""mahoney"",""drinka"",""krause"",""stamos"",""baade"",""tobias"",""moon"",""wilcox"",""hansen"",""baltz"",""swenson"",""jones"",""schuna"",""kerstein"",""caines"",""brinker"",""li"",""baltz ward"",""ackman"",""molino"",""lecaire"",""danielson"",""kujath"",""quinn"",""chan"",""de lusignan"",""cooper""]","[""Prednisone"",""Glucocorticoids"",""Vitamins"",""Aged"",""Gonadal Steroid Hormones"",""Middle Aged"",""Hospitals, Veterans"",""Adult"",""Humans"",""Veterans"",""Disease Management"",""Osteoporosis"",""Testosterone"",""Bone Density"",""Calcium"",""Dietary Supplements"",""Male"",""Female"",""Bone Resorption"",""Absorptiometry, Photon"",""Risk Factors"",""Hip Fractures"",""Alcohol Drinking"",""Treatment Outcome"",""Vitamin D Deficiency"",""Hypogonadism"",""Retrospective Studies"",""Mass Screening"",""Pilot Projects"",""Wisconsin"",""Health Promotion"",""Rural Population"",""Community Pharmacy Services"",""Risk Assessment"",""Pharmacists"",""Feasibility Studies"",""Surveys and Questionnaires"",""Osteoporosis, Postmenopausal"",""Rural Health Services"",""Calcium, Dietary"",""Patient Education as Topic"",""Aged, 80 and over"",""Combined Modality Therapy"",""Vitamin D"",""Age Factors"",""Alendronate"",""Spinal Fractures"",""Attitude of Health Personnel"",""Practice Patterns, Physicians'"",""Primary Health Care"",""Attitude to Health"",""Body Mass Index"",""Risk"",""Prevalence"",""Nursing Homes"",""Homes for the Aged"",""Fractures, Bone"",""Hydroxycholecalciferols"",""Fractures, Spontaneous"",""Osteomalacia"",""Sex Factors"",""Regression Analysis"",""Calcaneus"",""Forearm"",""Androgen Antagonists"",""Prostatic Neoplasms"",""Antineoplastic Agents, Hormonal"",""Androgens"",""Predictive Value of Tests"",""Bone Density Conservation Agents"",""Diagnosis, Differential"",""Life Style"",""Smoking"",""Patient Compliance"",""Lumbar Vertebrae"",""Hip Joint"",""Antibodies, Monoclonal"",""United Kingdom"",""Patient Selection"",""Denosumab"",""Antibodies, Monoclonal, Humanized"",""RANK Ligand"",""Injections, Subcutaneous"",""Secondary Prevention"",""Drug Costs"",""Fracture Fixation, Internal"",""Tibial Fractures"",""Sampling Studies"",""Clinical Competence"",""United States"",""Vascular Surgical Procedures"",""Injury Severity Score"",""Societies, Medical"",""Tibia"",""Radiography"",""Data Collection"",""Popliteal Artery"",""Accidental Falls"",""Body Weight"",""Hip"",""Cohort Studies"",""Adolescent"",""Incidence"",""Registries"",""Biomarkers"",""Osteoporotic Fractures"",""Hyperglycemia"",""Diabetes Mellitus, Type 1"",""Follow-Up Studies"",""Young Adult"",""Bone Remodeling"",""Motor Activity"",""Primary Care Nursing"",""Socioeconomic Factors"",""Nursing Audit""]","[{""identifier"":5261457,""name"":""Madison""},{""identifier"":2652053,""name"":""Crawley""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":2635167,""name"":""United Kingdom""}]",NA
220,"p",NA,"ellis","[""o'flaherty"",""thompson"",""barr""]","[""Femoral Neck Fractures"",""Radiography"",""Adult"",""Aged, 80 and over"",""Retrospective Studies"",""Humans"",""United Kingdom"",""Aged"",""Middle Aged"",""Fractures, Spontaneous"",""Male"",""Female"",""Bone Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
221,"m","w","emery","[""mehta"",""byrd"",""girish"",""roy""]","[""Fractures, Spontaneous"",""Spinal Fractures"",""Biopsy"",""Mycobacterium avium"",""Sensitivity and Specificity"",""Female"",""Thoracic Vertebrae"",""Tomography, X-Ray Computed"",""Tuberculin Test"",""Humans"",""Aged"",""Diagnosis, Differential"",""Tuberculosis, Spinal"",""Magnetic Resonance Imaging"",""Drug Therapy, Combination"",""Antitubercular Agents""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
222,"ronald","d","emkey","[""levine"",""yates"",""pinchera"",""foldes"",""greenspan"",""felsenberg"",""recker"",""tonino"",""roux"",""orloff"",""santora"",""kaur"",""thompson"",""adami"",""crepaldi"",""kiel"",""mcclung"",""bone"",""schnitzer"",""meunier"",""wasnich"",""menkes"",""rodriguez portales"",""desai"",""ross"",""wu"",""lane"",""brown"",""adachi"",""delmas"",""kaufman"",""poubelle"",""seeman"",""hawkins"",""correa rotter"",""liberman"",""saag"",""melo gomes"",""westhovens"",""wing"",""mcilwain"",""block"",""malice"",""dumortier"",""nevitt"",""sharp"",""leite"",""siminoski"",""gruber"",""yanover"",""daifotis"",""carofano"",""czachur"",""lindsay"",""kendler"",""bolognese"",""li"",""balske"",""lombardi"",""miller"",""weiss"",""bell"",""davidson"",""mckeever"",""downs"",""heyden"",""mulloy"",""verbruggen"",""goemaere"",""bianchi"",""wilson"",""cooper"",""hawker"",""mcdonald"",""schimmer"",""gupta"",""hosking"",""tucci"",""devogelaer"",""stakkestad"",""skag"",""chesnut"",""gilbride"",""christiansen"",""harris"",""ettinger"",""baylink"",""watts"",""stepan"",""bonvoisin"",""drezner"",""rowell"",""mairon"",""silverman"",""reginster"",""lakatos"",""greenwald"",""seidman"",""beusterien"",""koltun"",""masanauskaite"",""devas"",""kivitz"",""epstein"",""hiltbrunner"",""cummings"",""day"",""lee"",""somayaji"",""moffett"",""siris"",""lips"",""lippuner"",""benhamou"",""rosen"",""salzmann"",""he"",""strampel"",""civitelli"",""sebba"",""sambrook"",""kohles"",""sedarati"",""neate"",""zerbini"",""recknor"",""ragi eis"",""cosman"",""borges"",""emkey""]","[""Therapeutic Equivalency"",""Bone Density"",""Aged, 80 and over"",""Spine"",""Female"",""Humans"",""Alendronate"",""Adult"",""Dose-Response Relationship, Drug"",""Middle Aged"",""Gastrointestinal Diseases"",""Double-Blind Method"",""Drug Administration Schedule"",""Lumbosacral Region"",""Aged"",""Femur Neck"",""Administration, Oral"",""Osteoporosis, Postmenopausal"",""Absorptiometry, Photon"",""Bone and Bones"",""Time Factors"",""Placebos"",""Glucocorticoids"",""Spinal Fractures"",""Male"",""Joints"",""Arthrography"",""Bone Resorption"",""Stomach"",""Calcium Channel Blockers"",""Biomarkers"",""Etidronic Acid"",""Lumbar Vertebrae"",""Risedronate Sodium"",""Treatment Outcome"",""Hip"",""Estrogens, Conjugated (USP)"",""Drug Therapy, Combination"",""Estrogen Replacement Therapy"",""Withholding Treatment"",""Retrospective Studies"",""Osteoporosis"",""Radiography"",""Prednisone"",""Diphosphonates"",""Bone Remodeling"",""Body Height"",""Fractures, Bone"",""Creatinine"",""Collagen"",""Risk Factors"",""Peptides"",""Collagen Type I"",""Osteocalcin"",""Bone Density Conservation Agents"",""Europe"",""Postmenopause"",""European Continental Ancestry Group"",""North America"",""Femur"",""Hip Joint"",""Cross-Over Studies"",""Patient Satisfaction"",""Prospective Studies"",""Patient Compliance"",""Pyrrolidines"",""Antithrombin III"",""Fibrinogen"",""Apolipoproteins"",""Selective Estrogen Receptor Modulators"",""C-Reactive Protein"",""Tetrahydronaphthalenes"",""Cholesterol"",""Cardiovascular Diseases"",""Raloxifene Hydrochloride"",""Drug Combinations"",""Parathyroid Hormone"",""Vitamin D"",""Cholecalciferol"",""Acute-Phase Reaction"",""Injections, Intravenous"",""Renal Insufficiency"",""Osteonecrosis"",""Jaw Diseases"",""Clinical Trials, Phase III as Topic"",""Clinical Trials as Topic"",""Bone Development"",""Calcium, Dietary"",""Animals"",""Intestinal Absorption"",""Calcium Channels"",""Intestine, Small"",""Nutritional Requirements"",""Calcium"",""Dietary Supplements"",""Enterocytes"",""TRPV Cation Channels""]","[{""identifier"":5220248,""name"":""Wyomissing""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
223,"cynthia","l","emory","[""wilson"",""carter"",""ward"",""mannava"",""smith"",""koman"",""plate"",""gaffney"",""li"",""wiesler"",""lake"",""miller""]","[""Fractures, Stress"",""Middle Aged"",""Aged"",""Retrospective Studies"",""Length of Stay"",""Alendronate"",""Humans"",""Imidazoles"",""Femoral Fractures"",""Radiography"",""Female"",""Aged, 80 and over"",""Diphosphonates"",""Male"",""Bone Plates"",""Drug Utilization"",""Wrist Joint"",""Range of Motion, Articular"",""Adolescent"",""Fractures, Closed"",""Follow-Up Studies"",""Adult"",""Young Adult"",""Fracture Fixation, Intramedullary"",""Bone Nails"",""Analgesics, Opioid"",""Joint Instability"",""Pain, Postoperative"",""Return to Work"",""Prospective Studies"",""Disability Evaluation"",""Radius Fractures"",""Osteoporotic Fractures"",""Referral and Consultation"",""Secondary Prevention"",""Continuity of Patient Care"",""Delivery of Health Care, Integrated"",""Patient Care Team"",""United States""]","[{""identifier"":4499612,""name"":""Winston-Salem""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
224,"i",NA,"li","[""inoue"",""endo"",""ogose"",""hatano"",""hotta"",""umezu""]","[""Radiography"",""Phosphates"",""Bone Neoplasms"",""Lymphatic Metastasis"",""Neoplasm Recurrence, Local"",""Humans"",""Bone and Bones"",""Female"",""Sarcoma"",""Hypophosphatemia"",""Middle Aged"",""Fractures, Spontaneous"",""Osteomalacia""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
225,"vahid",NA,"entezari","[""muller"",""nazarian"",""vartanians"",""snyder"",""cheung"",""aboulafia"",""turcotte"",""anderson"",""cheng"",""gebhardt"",""terek"",""damron"",""yaszemski"",""lin"",""hipp"",""villa camacho"",""calderon"",""zurakowski"",""hochman"",""baldini"",""katz"",""rosen"",""grant"",""brown""]","[""Female"",""Rats"",""Regression Analysis"",""Stress, Mechanical"",""Femur"",""Ovariectomy"",""Nephrectomy"",""Fractures, Bone"",""Animals"",""Biomechanical Phenomena"",""Compressive Strength"",""Bone and Bones"",""Bone Density"",""X-Ray Microtomography"",""Rats, Sprague-Dawley"",""Tensile Strength"",""Neoplasms"",""Bone Neoplasms"",""Male"",""Adult"",""Humans"",""Tomography, X-Ray Computed"",""Aged, 80 and over"",""Middle Aged"",""Risk Assessment"",""Aged"",""Prospective Studies"",""Practice Patterns, Physicians'"",""Clinical Decision-Making"",""Fractures, Spontaneous"",""Focus Groups"",""Predictive Value of Tests"",""Pilot Projects"",""Risk Factors"",""Sensitivity and Specificity"",""Femoral Neoplasms"",""Survival Analysis"",""Radiography"",""Cross-Sectional Studies"",""Phantoms, Imaging""]","[{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
226,"s",NA,"xu","[""jensen"",""abrahamsen"",""vestergaard"",""harslof"",""langdahl"",""brixen"",""eiken"",""hansen"",""petersen""]","[""Aged"",""Humans"",""Osteoporotic Fractures"",""Aged, 80 and over"",""Follow-Up Studies"",""Female"",""Male"",""Hip Fractures"",""Incidence"",""Fractures, Bone"",""Middle Aged"",""Denmark""]","[{""identifier"":2624886,""name"":""Aalborg""}]","[{""identifier"":2623032,""name"":""Denmark""}]",NA
227,"g",NA,"eryanilmaz","[""kayali"",""agus"",""kalenderer"",""zincircioglu"",""reisoglu"",""omeroglu""]","[""Bone Nails"",""Risk Assessment"",""Follow-Up Studies"",""Probability"",""Child, Preschool"",""Prospective Studies"",""Female"",""Edema"",""Male"",""Elbow"",""Humeral Fractures"",""Fracture Fixation, Internal"",""Humans"",""Injury Severity Score"",""Treatment Outcome"",""Bone Wires"",""Traction"",""Combined Modality Therapy"",""Recovery of Function"",""Child"",""Time Factors"",""Range of Motion, Articular"",""Radiography"",""Minimally Invasive Surgical Procedures"",""Fracture Healing"",""Knee Injuries"",""Femoral Fractures"",""Fractures, Comminuted"",""Adolescent"",""Middle Aged"",""Adult"",""Bone Plates""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
228,"a",NA,"esedova","[""ferzilaeva"",""gadzhieva""]","[""Phosphorus"",""Osteoporosis, Postmenopausal"",""Bone and Bones"",""Alkaline Phosphatase"",""Osteocalcin"",""Parathyroid Hormone"",""Calcium"",""Female"",""Hydroxyproline"",""Hypothyroidism"",""Goiter, Endemic"",""Thyroid Hormones"",""Humans"",""Calcitonin"",""Middle Aged""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
229,"m",NA,"espeland","[""marcus"",""slone"",""greendale"",""barrett connor""]","[""Estrogen Replacement Therapy"",""Withholding Treatment"",""Female"",""Time Factors"",""Progesterone Congeners"",""Estrogens, Conjugated (USP)"",""Middle Aged"",""Medroxyprogesterone Acetate"",""Humans"",""Bone Density"",""Follow-Up Studies"",""Osteoporosis, Postmenopausal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
230,"liana",NA,"euller ziegler","[""breuil"",""delmas"",""sakalova"",""facon"",""boewer"",""herrmann"",""fontana"",""wetterwald"",""singer"",""lichinitser"",""thiel"",""hrubisko"",""fiere"",""menssen"",""roux"",""albert"",""testa"",""brocq"",""chassang"",""amri"",""dani"",""benhamou"",""elabd"",""beaupied"",""basillais"",""wagner"",""zaragosi"",""scheideler"",""lemichez"",""massiera"",""carle"",""trajanoski"",""ailhaud"",""mroueh"",""chami stemman"",""grisot"",""quincey"",""bernard"",""breittmayer"",""albert sabonnadiere"",""durant"",""de perreti"",""ticchioni"",""ferrari"",""panaia ferrari"",""fontas"",""eastell"",""kolta"",""faure"",""ben yahia"",""gossiel"",""ravaud"",""sibilia"",""berenbaum"",""schaeverbeke"",""chabrefy"",""mouterde"",""cerato"",""pouplin"",""flipo"",""fayet"",""gilson"",""mariette"",""dernis"",""richette"",""chary valckenaere"",""chales"",""fautrel"",""saraux"",""dougados"",""soubrier"",""perrodeau"",""gossec"",""chapurlat"",""yahia"",""szulc""]","[""Puberty"",""Androgens"",""Estrogens"",""Female"",""Bone and Bones"",""Osteoporosis"",""Bone Density"",""Klinefelter Syndrome"",""Humans"",""Turner Syndrome"",""Growth Hormone"",""Male"",""Drug Therapy, Combination"",""Survival Analysis"",""Diphosphonates"",""Spinal Cord Compression"",""Treatment Outcome"",""Bone Resorption"",""Multiple Myeloma"",""Middle Aged"",""Injections, Intravenous"",""Hypercalcemia"",""Fractures, Bone"",""Double-Blind Method"",""Pain"",""Chi-Square Distribution"",""Severity of Illness Index"",""Disability Evaluation"",""Health Status"",""Radiography"",""Risk Factors"",""Activities of Daily Living"",""Aged, 80 and over"",""Surveys and Questionnaires"",""Vitamin D Deficiency"",""Aged"",""Survival Rate"",""Fractures, Stress"",""France"",""Accidental Falls"",""Osteoporosis, Postmenopausal"",""Pelvic Bones"",""Oxytocin"",""Bone Marrow Cells"",""Receptors, Oxytocin"",""Ovariectomy"",""Adipogenesis"",""Mesenchymal Stromal Cells"",""Osteogenesis"",""Cells, Cultured"",""Osteoblasts"",""Rats"",""Osteoclasts"",""Mice"",""Child, Preschool"",""Animals"",""Genetic Predisposition to Disease"",""Spinal Fractures"",""Genotype"",""Polymorphism, Genetic"",""Fractures, Spontaneous"",""Genetic Markers"",""Postmenopause"",""Gene Expression Profiling"",""Body Composition"",""T-Lymphocyte Subsets"",""Case-Control Studies"",""Pilot Projects"",""Osteoporotic Fractures"",""Interferon-gamma"",""Immunity, Cellular"",""Dendritic Cells"",""Immunophenotyping"",""B-Lymphocyte Subsets"",""Granulocyte-Macrophage Colony-Stimulating Factor"",""Luteinizing Hormone"",""Estradiol"",""Bone Remodeling"",""Leptin"",""Peptides"",""Pituitary Hormones"",""Collagen Type I"",""Sex Hormone-Binding Globulin"",""Retrospective Studies"",""Biomarkers"",""Prognosis"",""Cross-Sectional Studies"",""Cohort Studies"",""Self-Examination"",""Practice Patterns, Nurses'"",""Hypertension"",""Patient Outcome Assessment"",""Dyslipidemias"",""Smoking"",""Comorbidity"",""Antirheumatic Agents"",""Arthritis, Rheumatoid"",""Disease Management"",""Self Care"",""Diabetes Mellitus"",""Hip Joint"",""Lumbar Vertebrae"",""Femur Neck"",""Body Mass Index""]","[{""identifier"":2990440,""name"":""Nice""}]","[{""identifier"":3017382,""name"":""France""}]",NA
231,"c",NA,"fairweather","[""kumar"",""dykes"",""gill""]","[""Fractures, Bone"",""Joint Instability"",""Young Adult"",""Adolescent"",""Middle Aged"",""Aircraft"",""Child"",""Humans"",""Wales"",""Emergency Service, Hospital"",""Female"",""Male"",""Adult"",""Mountaineering"",""Fractures, Open"",""Ankle Injuries""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
232,"xianqun",NA,"wang","[""lu"",""zhou"",""shen"",""xiao"",""lin""]","[""Reconstructive Surgical Procedures"",""Maxillary Fractures"",""Fracture Fixation, Internal"",""Zygomatic Fractures"",""Computer-Aided Design"",""Orbital Fractures"",""Adult"",""Enophthalmos"",""Humans"",""Retrospective Studies"",""Osteotomy"",""Adolescent"",""Middle Aged"",""Diplopia"",""Female"",""Male"",""Treatment Outcome"",""Titanium"",""Tomography, X-Ray Computed"",""Surgical Mesh""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
233,"g",NA,"fang","[""xie"",""zhou""]","[""Patella"",""Adult"",""Humans"",""Aged"",""Middle Aged"",""Fractures, Bone"",""Fracture Fixation, Internal"",""Female"",""Male""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
234,"rafat",NA,"faraawi","[""adachi"",""yacik"",""evans"",""nayar"",""massaad"",""o'mahony""]","[""Osteoporosis, Postmenopausal"",""Middle Aged"",""Double-Blind Method"",""Aged"",""Gastrointestinal Diseases"",""Bone Density Conservation Agents"",""Alendronate"",""Adult"",""Humans"",""Aged, 80 and over"",""Esophageal Diseases"",""Female"",""Dyspepsia"",""Solubility""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",482818
235,"michael",NA,"farbaniec","[""kuperman"",""lamberg""]","[""Pulmonary Embolism"",""Dyspnea"",""Diagnosis, Differential"",""Humans"",""Aged, 80 and over"",""Femoral Neck Fractures"",""Tomography, X-Ray Computed"",""Female"",""Hernia, Hiatal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
236,"m","j","fardy","[""crean"",""sivarajasingam""]","[""Female"",""Child, Preschool"",""Horses"",""Mandibular Fractures"",""Animals"",""Humans"",""Fracture Fixation""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
237,"sarah",NA,"farmer","[""frederiksen"",""hermann"",""vestergaard"",""horvath puho""]","[""Hip Fractures"",""Smoking"",""Fractures, Spontaneous"",""Denmark"",""Alcohol-Related Disorders"",""Middle Aged"",""Female"",""Osteoporosis"",""Polycythemia Vera"",""Risk"",""Leukemia, Myelogenous, Chronic, BCR-ABL Positive"",""Male"",""Pulmonary Disease, Chronic Obstructive"",""Aged"",""Thrombocythemia, Essential"",""Young Adult"",""Follow-Up Studies"",""Comorbidity"",""Adult"",""Humans"",""Magnetic Resonance Imaging"",""Spinal Fractures"",""Osteoporotic Fractures"",""Fractures, Compression""]","[{""identifier"":2615876,""name"":""Odense""}]","[{""identifier"":2623032,""name"":""Denmark""}]",846003
238,"g",NA,"wu","[""johns"",""civil""]","[""Adult"",""Humans"",""Sex Distribution"",""Aged, 80 and over"",""Risk Factors"",""Age Distribution"",""Male"",""Female"",""Middle Aged"",""Animals"",""Wounds and Injuries"",""Adolescent"",""Aged"",""Craniocerebral Trauma"",""Injury Severity Score"",""New Zealand"",""Horses"",""Leg Injuries"",""Accidental Falls"",""Fractures, Bone"",""Dogs""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
239,"maede",NA,"huang","[""rezaei"",""parand"",""jooya"",""haghpanah"",""mokhtari"",""karimi""]","[""Adult"",""Humans"",""Child"",""Iran"",""Erythrocyte Count"",""Morbidity"",""Adolescent"",""Gallstones"",""Male"",""Erythroblasts"",""Female"",""Osteoporosis"",""Risk Factors"",""Thalassemia"",""Sex Factors"",""Child, Preschool"",""Splenectomy"",""Fetal Hemoglobin""]","[{""identifier"":115019,""name"":""Shiraz""}]","[{""identifier"":130758,""name"":""Iran""}]",NA
