"id","first_name","middle_name","lastname","coinvestigator_lastnames","topics","cities","countries","orcid"
199,"centro",NA,"di riferimento oncologico aviano","[""aebi"",""aarau"",""di bergamo"",""bern"",""bergonie"",""vergine""]","[""Tamoxifen"",""Osteoporosis"",""Breast Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
200,"christina",NA,"ofotokun","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
201,"p",NA,"liu","[]","[""Osteoporosis"",""Spinal Fractures"",""Glucocorticoids"",""Risedronate Sodium""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
202,"linda","a","dimeglio","[]","[""Osteogenesis Imperfecta"",""Osteitis Deformans"",""Osteoporosis"",""Bone Diseases"",""Alendronate"",""Diphosphonates""]","[{""identifier"":4259418,""name"":""Indianapolis""},{""identifier"":5194868,""name"":""Indiana""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
203,"p","j","disaia","[""alberts"",""st. louis cape girardeau"",""pratt"",""campus""]","[""Ovarian Neoplasms"",""Osteoporosis"",""Diphosphonates""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
204,"nikolaos",NA,"donos","[]","[""Osteoporosis"",""Osteoporosis, Postmenopausal""]","[{""identifier"":2643743,""name"":""London""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",531389
205,"el",NA,"li","[""kingman"",""hines"",""healthcare"",""duluth"",""chanute"",""wichita"",""salina"",""ochsner"",""parsons"",""newton"",""pratt"",""winfield"",""loprinzi""]","[""Calcium Carbonate"",""Risedronate Sodium"",""Ergocalciferols"",""Vitamin D"",""Etidronic Acid"",""Vitamins"",""Calcium, Dietary"",""Breast Neoplasms"",""Osteoporosis"",""Estrogen Antagonists"",""Prostatic Neoplasms"",""Estrogens"",""Cholecalciferol""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
206,"r","k","dore","[""feldman"",""rodriguez ginorio"",""rodriguez-ginorio""]","[""Calcium, Dietary"",""Vitamins"",""Etidronic Acid"",""Teriparatide"",""Vitamin D"",""Ergocalciferols"",""Risedronate Sodium"",""Osteoporosis, Postmenopausal"",""Spinal Fractures"",""Osteoporosis""]","[{""identifier"":5404119,""name"":""Tustin""},{""identifier"":5368361,""name"":""Los Angeles""},{""identifier"":3171366,""name"":""Pavia""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":3175395,""name"":""Italy""}]",NA
207,"c",NA,"li","[""fortin""]","[""Osteoporosis"",""Heart Failure"",""Diverticulum"",""Pulmonary Disease, Chronic Obstructive"",""Bronchitis, Chronic"",""Cardiovascular Diseases"",""Hepatitis, Chronic"",""Kidney Diseases"",""Lung Diseases"",""Arthritis"",""Thyroid Diseases"",""Lung Diseases, Obstructive"",""Irritable Bowel Syndrome"",""Ischemic Attack, Transient"",""Colitis, Ulcerative"",""Hyperlipidemias"",""Bronchitis"",""Arthritis, Rheumatoid"",""Dementia"",""Gastroesophageal Reflux"",""Musculoskeletal Pain"",""Crohn Disease"",""Alzheimer Disease""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
208,"ccop",NA,"duluth","[""kingman"",""hines"",""healthcare"",""dorado"",""chanute"",""wichita"",""salina"",""ochsner"",""parsons"",""newton"",""pratt"",""winfield"",""loprinzi""]","[""Calcium Carbonate"",""Risedronate Sodium"",""Ergocalciferols"",""Vitamin D"",""Etidronic Acid"",""Vitamins"",""Calcium, Dietary"",""Breast Neoplasms"",""Osteoporosis"",""Estrogen Antagonists"",""Prostatic Neoplasms"",""Estrogens"",""Cholecalciferol""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
209,"samuel",NA,"kono","[""denoia""]","[""Osteoporosis"",""Diphosphonates""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
210,"richard",NA,"eastell","[""mccloskey""]","[""Osteoporosis"",""Teriparatide"",""Alendronate"",""Risedronate Sodium"",""Diphosphonates"",""Etidronic Acid"",""Osteoporosis, Postmenopausal""]","[{""identifier"":2638077,""name"":""Sheffield""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
211,"leigh",NA,"eck","[]","[""Vitamins"",""Osteoporosis"",""Cholecalciferol"",""Ergocalciferols"",""Vitamin D""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
212,"christina",NA,"zhu","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
213,"j","m","cheung","[]","[""Testosterone"",""Vitamin D"",""Osteoporosis"",""Sarcopenia"",""Methyltestosterone"",""Aromatase Inhibitors"",""Hypogonadism""]","[{""identifier"":2638077,""name"":""Sheffield""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
214,"mostafa",NA,"wu","[""von stein""]","[""Osteoporosis"",""Teriparatide""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
215,"m",NA,"majumdar","[]","[""Vitamin D Deficiency"",""Osteoporosis"",""Ergocalciferols"",""Vitamins"",""Vitamin D""]","[{""identifier"":5261457,""name"":""Madison""},{""identifier"":2652053,""name"":""Crawley""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":2635167,""name"":""United Kingdom""}]",NA
216,"herman",NA,"lin","[]","[""Etidronic Acid"",""Risedronate Sodium"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
217,"a",NA,"nakamura","[""hansen""]","[""Arteritis"",""Giant Cell Arteritis"",""Polymyalgia Rheumatica""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
218,"r","d","emkey","[""recker"",""miller"",""ste marie"",""recknor"",""woodson"",""balske"",""watts"",""greenwald""]","[""Osteoporosis"",""Risedronate Sodium"",""Etidronic Acid""]","[{""identifier"":5220248,""name"":""Wyomissing""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
219,"s","a","xu","[""vestergaard""]","[""Ergocalciferols"",""Vitamins"",""Vitamin D"",""Depressive Disorder, Major"",""Depression"",""Depressive Disorder"",""Osteoporosis""]","[{""identifier"":2624886,""name"":""Aalborg""}]","[{""identifier"":2623032,""name"":""Denmark""}]",NA
220,"mark",NA,"espeland","[]","[""Estrogens"",""Bone Diseases"",""Progesterone"",""Medroxyprogesterone Acetate"",""Cardiovascular Diseases"",""Myocardial Ischemia"",""Hypercholesterolemia"",""Thrombosis"",""Osteoporosis"",""Diabetes Mellitus"",""Estrogens, Conjugated (USP)"",""Medroxyprogesterone"",""Coronary Disease"",""Ischemia"",""Heart Diseases"",""Coronary Artery Disease""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
221,"l",NA,"euller ziegler","[]","[""Osteoporosis""]","[{""identifier"":2990440,""name"":""Nice""}]","[{""identifier"":3017382,""name"":""France""}]",NA
222,"r","y","faraawi","[""bolognese"",""lillestol"",""garceau"",""monraz"",""mease"",""rodrigues""]","[""Osteoporosis"",""Hormones"",""Osteoporosis, Postmenopausal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",482818
223,"s",NA,"farmer","[]","[""Polycythemia Vera"",""Myeloproliferative Disorders"",""Thrombocytosis"",""Polycythemia"",""Primary Myelofibrosis"",""Neoplasms"",""Thrombocythemia, Essential""]","[{""identifier"":2615876,""name"":""Odense""}]","[{""identifier"":2623032,""name"":""Denmark""}]",846003
224,"murray","j","favus","[]","[""Hypercalciuria"",""Bone Diseases, Metabolic"",""Estrogens"",""Osteoporosis"",""Estradiol""]","[{""identifier"":4887398,""name"":""Chicago""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
225,"pouneh",NA,"zhang","[]","[""Teriparatide"",""Osteoporosis"",""Anorexia Nervosa"",""Anorexia"",""Estradiol"",""Levonorgestrel"",""Estrogens""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
226,"a",NA,"fehrer","[""simonelli""]","[""Osteoporosis"",""Fractures, Bone"",""Denosumab""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
227,"r","a","feldman","[""dore"",""rodriguez ginorio"",""rodriguez-ginorio""]","[""Calcium, Dietary"",""Vitamins"",""Etidronic Acid"",""Teriparatide"",""Vitamin D"",""Ergocalciferols"",""Risedronate Sodium"",""Osteoporosis, Postmenopausal"",""Spinal Fractures"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
228,"dieter",NA,"valimaki","[]","[""Osteoporosis, Postmenopausal"",""Bone Diseases, Metabolic"",""Osteoporosis"",""Hydroxycholecalciferols"",""Calcium, Dietary"",""Ergocalciferols"",""Diphosphonates"",""Vitamins"",""Vitamin D"",""Alendronate""]","[{""identifier"":2950159,""name"":""Berlin""}]","[{""identifier"":2921044,""name"":""Germany""}]",33627
229,"joshua",NA,"fenton","[]","[""Headache"",""Low Back Pain"",""Back Pain"",""Osteoporosis""]","[{""identifier"":5809844,""name"":""Seattle""},{""identifier"":5389489,""name"":""Sacramento""},{""identifier"":5341704,""name"":""Davis""}]","[{""identifier"":6252001,""name"":""United States""}]",168697
230,"luis",NA,"chan","[]","[""Fractures, Bone"",""Spinal Fractures"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
231,"r",NA,"filip","[""van der saag""]","[""Calcium, Dietary"",""Osteoporosis"",""Bone Diseases, Metabolic""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
232,"joel","s","finkelstein","[]","[""Alendronate"",""Osteoporosis"",""Hormones""]","[{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":6252001,""name"":""United States""}]",1222174
233,"loren",NA,"fishman","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
234,"mark",NA,"fenton","[]","[""Lung Diseases"",""Osteoporosis"",""Pulmonary Disease, Chronic Obstructive"",""Lung Diseases, Obstructive""]","[{""identifier"":null,""name"":null}]","[{""identifier"":2077456,""name"":""Australia""}]",NA
235,"i",NA,"walker","[""hampson""]","[""Vitamin K 1"",""Vitamin K 2"",""Vitamin K"",""Osteoporosis, Postmenopausal"",""Osteoporosis"",""Vitamins""]","[{""identifier"":2643743,""name"":""London""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",33102
236,"h",NA,"tang","[""de desporto""]","[""Bone Diseases, Metabolic"",""Bone Diseases""]","[{""identifier"":2735943,""name"":""Porto""}]","[{""identifier"":2264397,""name"":""Portugal""}]",647957
237,"a",NA,"fontana","[]","[""Bone Diseases, Metabolic"",""Etidronic Acid"",""Breast Neoplasms"",""Risedronate Sodium"",""Aromatase Inhibitors""]","[{""identifier"":2996944,""name"":""Lyon""}]","[{""identifier"":3017382,""name"":""France""}]",80714
238,"sylviane",NA,"forget","[]","[""Osteoporosis"",""Crohn Disease"",""Bone Diseases, Metabolic"",""Diphosphonates""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
239,"gian","luca","forni","[""di ematologia"",""cervello"",""microcitemia"",""galliera""]","[""Osteoporosis"",""beta-Thalassemia"",""Thalassemia""]","[{""identifier"":3176219,""name"":""Genoa""}]","[{""identifier"":3175395,""name"":""Italy""}]",NA
240,"gail",NA,"lu","[]","[""Hypertrophy"",""Muscular Disorders, Atrophic"",""Atrophy"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
241,"m",NA,"fortin","[""du sageunay lac saint jean""]","[""Osteoporosis"",""Heart Failure"",""Diverticulum"",""Pulmonary Disease, Chronic Obstructive"",""Bronchitis, Chronic"",""Cardiovascular Diseases"",""Hepatitis, Chronic"",""Kidney Diseases"",""Lung Diseases"",""Arthritis"",""Thyroid Diseases"",""Lung Diseases, Obstructive"",""Irritable Bowel Syndrome"",""Ischemic Attack, Transient"",""Colitis, Ulcerative"",""Hyperlipidemias"",""Bronchitis"",""Arthritis, Rheumatoid"",""Dementia"",""Gastroesophageal Reflux"",""Musculoskeletal Pain"",""Crohn Disease"",""Alzheimer Disease""]","[{""identifier"":6146143,""name"":""Sherbrooke""}]","[{""identifier"":6251999,""name"":""Canada""}]",NA
242,"roger",NA,"francis","[]","[""Osteoporosis"",""Etidronic Acid"",""Hormones"",""Glucocorticoids""]","[{""identifier"":2641673,""name"":""Newcastle upon Tyne""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",44150
243,"sheldon",NA,"freeman","[""vamc"",""steiner"",""glazier"",""oberheim""]","[""Citric Acid"",""Androgens"",""Toremifene"",""Prostatic Neoplasms"",""Osteoporosis"",""Fractures, Bone""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
244,"loretto","krankenhaus","freiburg","[""hontas"",""kliniken""]","[""Fractures, Bone"",""Fractures, Compression"",""Osteoporosis"",""Spinal Fractures"",""Back Injuries""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
245,"simone",NA,"mitchell","[]","[""Osteoporosis""]","[{""identifier"":2157247,""name"":""Monash""}]","[{""identifier"":2077456,""name"":""Australia""}]",191065
246,"d",NA,"liu","[""winterthur"",""triemli"",""der isar der tu munchen"",""kralinger"",""innsbruck"",""careggi"",""der isar der tu muenchen"",""rikli""]","[""Shoulder Fractures"",""Humeral Fractures"",""Fractures, Bone"",""Radius Fractures""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
247,"a",NA,"frotzler","[]","[""Wounds and Injuries"",""Spinal Cord Injuries""]","[{""identifier"":2659436,""name"":""Nottwil""}]","[{""identifier"":2658434,""name"":""Switzerland""}]",213478
248,"michael",NA,"fuchs","[""klass""]","[""Hepatitis"",""Hepatitis C, Chronic"",""Virus Diseases"",""Hepatitis C"",""Ribavirin"",""Liver Diseases"",""Hepatitis A"",""Interferon-alpha"",""Antiviral Agents""]","[{""identifier"":2820256,""name"":""Ulm""}]","[{""identifier"":2921044,""name"":""Germany""}]",NA
249,"g",NA,"fuleihan","[]","[""Avitaminosis"",""Vitamin D Deficiency"",""Rickets"",""Insulin Resistance"",""Osteoporosis"",""Vitamins"",""Vitamin D"",""Ergocalciferols""]","[{""identifier"":276781,""name"":""Beirut""}]","[{""identifier"":272103,""name"":""Lebanon""}]",NA
250,"i",NA,"zhou","[]","[""Fractures, Bone"",""Osteoporosis""]","[{""identifier"":6146143,""name"":""Sherbrooke""}]","[{""identifier"":6251999,""name"":""Canada""}]",NA
251,"r",NA,"gafni","[]","[""Calcinosis"",""Osteomalacia""]","[{""identifier"":4348599,""name"":""Bethesda""}]","[{""identifier"":6252001,""name"":""United States""}]",99107
252,"a",NA,"galhardo","[]","[""Osteoporosis"",""Temporomandibular Joint Disorders"",""Disease"",""Temporomandibular Joint Dysfunction Syndrome"",""Bone Diseases, Metabolic""]","[{""identifier"":3448439,""name"":""São Paulo""}]","[{""identifier"":3469034,""name"":""Brazil""}]",NA
253,"ospedali",NA,"galliera","[""di ematologia"",""cervello"",""microcitemia"",""forni""]","[""Osteoporosis"",""beta-Thalassemia"",""Thalassemia""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
254,"judy",NA,"garber","[]","[""Osteoporosis, Postmenopausal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
255,"roger",NA,"garceau","[""faraawi"",""lillestol"",""rodrigues"",""monraz"",""bolognese"",""mease""]","[""Osteoporosis"",""Hormones"",""Osteoporosis, Postmenopausal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
256,"d",NA,"geffen","[""safra""]","[""Osteoporosis"",""Diphosphonates"",""Breast Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
257,"sílvia",NA,"gel","[]","[""Dideoxynucleosides"",""Tenofovir""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
258,"k",NA,"georgia","[""wolinsky""]","[""Bone Diseases"",""Osteoporosis"",""Bone Diseases, Metabolic"",""Metabolic Diseases""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
259,"lora",NA,"giangregorio","[]","[""Osteoporotic Fractures"",""Spinal Fractures"",""Fractures, Bone""]","[{""identifier"":6077243,""name"":""Montréal""},{""identifier"":3573197,""name"":""Hamilton""},{""identifier"":6167865,""name"":""Toronto""},{""identifier"":2643743,""name"":""London""},{""identifier"":5508030,""name"":""McGill""},{""identifier"":6141256,""name"":""Saskatoon""},{""identifier"":5969782,""name"":""Hamilton""},{""identifier"":6176823,""name"":""Waterloo""},{""identifier"":4880889,""name"":""Waterloo""}]","[{""identifier"":6251999,""name"":""Canada""},{""identifier"":3573345,""name"":""Bermuda""},{""identifier"":2635167,""name"":""United Kingdom""},{""identifier"":6252001,""name"":""United States""}]",104111
260,"o",NA,"hsu","[]","[""Osteoporosis"",""Spinal Fractures""]","[{""identifier"":3143244,""name"":""Oslo""}]","[{""identifier"":3144096,""name"":""Norway""}]",NA
261,"w",NA,"glazier","[""freeman"",""vamc"",""steiner"",""oberheim""]","[""Citric Acid"",""Androgens"",""Toremifene"",""Prostatic Neoplasms"",""Osteoporosis"",""Fractures, Bone""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
262,"donald","m","gleason","[""urology""]","[""Androgens"",""Prostatic Neoplasms"",""Diphosphonates""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
263,"allen",NA,"lu","[]","[""Osteomalacia"",""Osteoarthritis"",""Osteoporosis"",""Rickets"",""Osteomyelitis"",""Osteogenesis Imperfecta""]","[{""identifier"":2647347,""name"":""Hatfield""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
264,"s",NA,"gopal","[]","[""Ergocalciferols"",""Vitamins"",""Vitamin D"",""Vitamin D Deficiency"",""Osteoporosis""]","[{""identifier"":2644688,""name"":""Leeds""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
265,"catherine","m","gordon","[]","[""Osteoporosis"",""Bone Diseases, Metabolic"",""Alendronate"",""Anorexia"",""Estrogens, Conjugated (USP)"",""Ethinyl Estradiol"",""Estradiol"",""Hormones"",""Dehydroepiandrosterone"",""Progestins"",""Anorexia Nervosa"",""Estrogens"",""Levonorgestrel""]","[{""identifier"":5224151,""name"":""Providence""},{""identifier"":4930956,""name"":""Boston""},{""identifier"":4508722,""name"":""Cincinnati""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
266,"paul","e","goss","[""allen"",""lemoyne"",""blair""]","[""Osteoporosis"",""Breast Neoplasms"",""Alendronate"",""Calcium, Dietary"",""Risedronate Sodium"",""Calcium Carbonate"",""Cholecalciferol""]","[{""identifier"":6167865,""name"":""Toronto""},{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":6251999,""name"":""Canada""},{""identifier"":6252001,""name"":""United States""}]",199127
267,"lidwien",NA,"graat","[""graat verboom""]","[""Bone Diseases, Metabolic"",""Pulmonary Disease, Chronic Obstructive"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
268,"lidwien",NA,"graat verboom","[""graat verboom"",""graat""]","[""Osteoporosis"",""Lung Diseases"",""Pulmonary Disease, Chronic Obstructive"",""Lung Diseases, Obstructive"",""Bone Diseases, Metabolic""]","[{""identifier"":2751283,""name"":""Maastricht""},{""identifier"":2756253,""name"":""Eindhoven""}]","[{""identifier"":2750405,""name"":""Netherlands""}]",441597
269,"l.",NA,"graat verboom","[""graat verboom""]","[""Osteoporosis"",""Lung Diseases"",""Pulmonary Disease, Chronic Obstructive"",""Lung Diseases, Obstructive""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
270,"leland",NA,"graves","[]","[""Osteoporosis"",""Teriparatide""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",147291
271,"rebecca",NA,"green","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
272,"susan",NA,"lu","[]","[""Breast Neoplasms"",""Osteoporosis"",""Risedronate Sodium"",""Diphosphonates"",""Aromatase Inhibitors"",""Osteoporotic Fractures"",""Vitamins"",""Calcium, Dietary"",""Ergocalciferols"",""Vitamin D"",""Fractures, Bone"",""Osteoporosis, Postmenopausal"",""Teriparatide"",""Femoral Fractures"",""Alendronate"",""Prostatic Neoplasms"",""Denosumab"",""Hypogonadism""]","[{""identifier"":5206379,""name"":""Pittsburgh""},{""identifier"":4684888,""name"":""Dallas""}]","[{""identifier"":6252001,""name"":""United States""}]",29751
273,"maria","w","lu","[""recker"",""miller"",""ste marie"",""recknor"",""woodson"",""balske"",""watts"",""emkey""]","[""Osteoporosis"",""Risedronate Sodium"",""Etidronic Acid""]","[{""identifier"":5386015,""name"":""Rancho Mirage""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
274,"c",NA,"greig","[]","[""Ergocalciferols"",""Vitamin D"",""Cholecalciferol"",""Sarcopenia"",""Atrophy"",""Osteoporosis"",""Vitamins"",""Muscular Atrophy""]","[{""identifier"":2655603,""name"":""Birmingham""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
275,"jacques",NA,"griffet","[]","[""Osteoporosis"",""Paralysis"",""Cerebral Palsy"",""Alendronate"",""Diphosphonates""]","[{""identifier"":2990440,""name"":""Nice""}]","[{""identifier"":3017382,""name"":""France""}]",NA
276,"henning",NA,"lin","[]","[""Liver Diseases"",""Fatty Liver"",""Non-alcoholic Fatty Liver Disease""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
277,"andrew",NA,"sun","[]","[""Hip Fractures"",""Osteoporosis""]","[{""identifier"":5140405,""name"":""Syracuse""},{""identifier"":5128581,""name"":""New York City""}]","[{""identifier"":6252001,""name"":""United States""}]",287209
278,"t",NA,"gross","[""aarau""]","[""Osteoporotic Fractures"",""Osteoporosis, Postmenopausal"",""Osteoporosis""]","[{""identifier"":2661604,""name"":""Basel""},{""identifier"":4575352,""name"":""Columbia""},{""identifier"":2761369,""name"":""Vienna""}]","[{""identifier"":2658434,""name"":""Switzerland""},{""identifier"":6252001,""name"":""United States""},{""identifier"":2782113,""name"":""Austria""}]",NA
279,"namyi",NA,"gu","[]","[""Osteoporosis"",""Diabetes Mellitus"",""Diabetes Mellitus, Type 2""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
280,"bruno",NA,"lin","[""pereira""]","[""Bone Diseases, Metabolic"",""Osteoporosis""]","[{""identifier"":3448439,""name"":""São Paulo""}]","[{""identifier"":3469034,""name"":""Brazil""}]",NA
281,"b",NA,"lin","[]","[""Osteoporosis""]","[{""identifier"":5015627,""name"":""Yale""}]","[{""identifier"":6252001,""name"":""United States""}]",67416
282,"david","a","haggstrom","[]","[""Heart Failure"",""Cardiovascular Diseases"",""Osteoporosis"",""Diabetes Mellitus""]","[{""identifier"":4259418,""name"":""Indianapolis""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
283,"kari",NA,"hakestad","[""risberg""]","[""Osteoporosis""]","[{""identifier"":3143244,""name"":""Oslo""}]","[{""identifier"":3144096,""name"":""Norway""}]",NA
284,"mordechi",NA,"hallak","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
285,"jacqueline",NA,"chan","[]","[""Osteonecrosis"",""Precursor Cell Lymphoblastic Leukemia-Lymphoma"",""Leukemia"",""Leukemia, Lymphoid""]","[{""identifier"":6094817,""name"":""Ottawa""},{""identifier"":6325494,""name"":""Québec""},{""identifier"":5913490,""name"":""Calgary""},{""identifier"":5946768,""name"":""Edmonton""},{""identifier"":6324729,""name"":""Halifax""},{""identifier"":6167865,""name"":""Toronto""},{""identifier"":6183235,""name"":""Winnipeg""},{""identifier"":5969782,""name"":""Hamilton""},{""identifier"":6173331,""name"":""Vancouver""},{""identifier"":6058560,""name"":""London""}]","[{""identifier"":6251999,""name"":""Canada""}]",432760
286,"geeta","n","hampson","[""fogelman""]","[""Vitamin K 1"",""Vitamin K 2"",""Vitamin K"",""Osteoporosis, Postmenopausal"",""Osteoporosis"",""Vitamins""]","[{""identifier"":2643743,""name"":""London""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",119713
287,"joo",NA,"xu","[]","[""Osteoporosis"",""Joint Diseases"",""Osteomalacia""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
288,"david","arthur","hanley","[]","[""Ergocalciferols"",""Vitamin D"",""Cholecalciferol"",""Vitamins"",""Osteoporosis""]","[{""identifier"":5913490,""name"":""Calgary""}]","[{""identifier"":6251999,""name"":""Canada""}]",NA
289,"karen","e","hansen","[]","[""Osteoporosis"",""Bone Diseases, Metabolic"",""Aromatase Inhibitors"",""Omeprazole"",""Calcium, Dietary"",""Hip Fractures"",""Achlorhydria"",""Ergocalciferols"",""Vitamin D"",""Vitamins"",""Hypoparathyroidism"",""Rickets"",""Hypercalcemia"",""Vitamin D Deficiency"",""Avitaminosis"",""Hypercalciuria""]","[{""identifier"":5261457,""name"":""Madison""}]","[{""identifier"":6252001,""name"":""United States""}]",469880
290,"inger","marie","zhu","[""emamifar""]","[""Arteritis"",""Giant Cell Arteritis"",""Polymyalgia Rheumatica""]","[{""identifier"":2612045,""name"":""Svendborg""}]","[{""identifier"":2623032,""name"":""Denmark""}]",NA
291,"t","b","harris","[]","[""Alzheimer Disease"",""Osteoporosis"",""Atherosclerosis""]","[{""identifier"":4348599,""name"":""Bethesda""},{""identifier"":4367175,""name"":""Rockville""},{""identifier"":5318313,""name"":""Tucson""}]","[{""identifier"":6252001,""name"":""United States""}]",313734
292,"s","t","martin","[""miller"",""scumpia"",""lindsay""]","[""Osteoporosis"",""Osteoporosis, Postmenopausal""]","[{""identifier"":5391959,""name"":""San Francisco""},{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":6252001,""name"":""United States""}]",1270058
293,"s","f","hatta","[]","[""Vitamins"",""Vitamin D"",""Ergocalciferols"",""Cholecalciferol"",""Vitamin D Deficiency""]","[{""identifier"":154995,""name"":""Malya""}]","[{""identifier"":149590,""name"":""Tanzania""}]",NA
294,"e",NA,"cheung","[]","[""Alendronate"",""Vitamin D"",""Arthritis, Rheumatoid"",""Arthritis"",""Vitamins"",""Osteoporosis""]","[{""identifier"":2624886,""name"":""Aalborg""},{""identifier"":2624652,""name"":""Århus""}]","[{""identifier"":2623032,""name"":""Denmark""}]",1232161
295,"susan",NA,"hazelett","[""allen""]","[""Lung Diseases"",""Myocardial Ischemia"",""Coronary Artery Disease"",""Arteriosclerosis"",""Osteoarthritis"",""Pulmonary Disease, Chronic Obstructive"",""Osteoporosis"",""Diabetes Mellitus"",""Atrial Fibrillation"",""Chronic Disease"",""Stroke"",""Heart Failure""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",238514
296,"vincent",NA,"healthcare","[""kingman"",""hines"",""duluth"",""dorado"",""chanute"",""wichita"",""salina"",""ochsner"",""parsons"",""newton"",""pratt"",""winfield""]","[""Calcium Carbonate"",""Risedronate Sodium"",""Ergocalciferols"",""Vitamin D"",""Etidronic Acid"",""Vitamins"",""Calcium, Dietary"",""Breast Neoplasms"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
